# Team 0: PlayerAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,DISCARD,0,"['5d', '7s']","['5h', '3s']","['3d', '9h']",,,1,1
0,Pre-Flop,0,0,0,RAISE,2,"['6d', '7s']","['5h', '3s']","['3d', '9h']",5d,,1,1
0,Pre-Flop,1,0,0,RAISE,18,"['6d', '7s']","['5h', '3s']","['3d', '9h']",5d,,2,2
0,Pre-Flop,0,0,0,RAISE,26,"['6d', '7s']","['5h', '3s']","['3d', '9h']",5d,,4,4
0,Pre-Flop,1,0,0,RAISE,52,"['6d', '7s']","['5h', '3s']","['3d', '9h']",5d,,22,22
0,Pre-Flop,0,0,0,CALL,0,"['6d', '7s']","['5h', '3s']","['3d', '9h']",5d,,48,48
0,Pre-Flop,1,0,0,CHECK,0,"['6d', '7s']","['5h', '3s']","['3d', '9h']",5d,,100,100
0,Flop,0,0,0,CHECK,0,"['6d', '7s']","['5h', '3s']","['3d', '9h', '7h']",5d,,100,100
0,Flop,1,0,0,CHECK,0,"['6d', '7s']","['5h', '3s']","['3d', '9h', '7h']",5d,,100,100
0,Turn,0,0,0,CHECK,0,"['6d', '7s']","['5h', '3s']","['3d', '9h', '7h', '9d']",5d,,100,100
0,Turn,1,0,0,CHECK,0,"['6d', '7s']","['5h', '3s']","['3d', '9h', '7h', '9d']",5d,,100,100
0,River,0,0,0,CHECK,0,"['6d', '7s']","['5h', '3s']","['3d', '9h', '7h', '9d', '6h']",5d,,100,100
0,River,1,0,0,CHECK,0,"['6d', '7s']","['5h', '3s']","['3d', '9h', '7h', '9d', '6h']",5d,,100,100
1,Pre-Flop,1,100,-100,DISCARD,0,"['7h', 'As']","['4h', '5d']","['Ad', '3d']",,,1,1
1,Pre-Flop,1,100,-100,RAISE,9,"['7h', 'As']","['4h', 'Ah']","['Ad', '3d']",,5d,1,1
1,Pre-Flop,0,100,-100,RAISE,13,"['7h', 'As']","['4h', 'Ah']","['Ad', '3d']",,5d,2,2
