# Team 0: Team 0, Team 1: Team 1
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,4,"['Ah', '3s']","['5h', '2s']","['3d', '7s']",,,1,1
0,Pre-Flop,1,0,0,RAISE,94,"['Ah', '3s']","['5h', '2s']","['3d', '7s']",,,2,2
0,Pre-Flop,0,0,0,CALL,0,"['Ah', '3s']","['5h', '2s']","['3d', '7s']",,,6,6
0,Pre-Flop,1,0,0,CHECK,0,"['Ah', '3s']","['5h', '2s']","['3d', '7s']",,,100,100
0,Flop,0,0,0,CHECK,0,"['Ah', '3s']","['5h', '2s']","['3d', '7s', '3h']",,,100,100
0,Flop,1,0,0,CHECK,0,"['Ah', '3s']","['5h', '2s']","['3d', '7s', '3h']",,,100,100
0,Turn,0,0,0,CHECK,0,"['Ah', '3s']","['5h', '2s']","['3d', '7s', '3h', '8h']",,,100,100
0,Turn,1,0,0,CHECK,0,"['Ah', '3s']","['5h', '2s']","['3d', '7s', '3h', '8h']",,,100,100
0,River,0,0,0,CHECK,0,"['Ah', '3s']","['5h', '2s']","['3d', '7s', '3h', '8h', '5d']",,,100,100
0,River,1,0,0,CHECK,0,"['Ah', '3s']","['5h', '2s']","['3d', '7s', '3h', '8h', '5d']",,,100,100
1,Pre-Flop,1,100,-100,RAISE,98,"['4s', '2h']","['6d', 'Ad']","['6h', '9d']",,,1,1
1,Pre-Flop,0,100,-100,DISCARD,0,"['4s', '2h']","['6d', 'Ad']","['6h', '9d']",,,2,2
1,Pre-Flop,0,100,-100,CALL,0,"['4s', '4d']","['6d', 'Ad']","['6h', '9d']",2h,,2,2
1,Flop,1,100,-100,CHECK,0,"['4s', '4d']","['6d', 'Ad']","['6h', '9d', '6s']",2h,,100,100
1,Flop,0,100,-100,CHECK,0,"['4s', '4d']","['6d', 'Ad']","['6h', '9d', '6s']",2h,,100,100
1,Turn,1,100,-100,CHECK,0,"['4s', '4d']","['6d', 'Ad']","['6h', '9d', '6s', '5h']",2h,,100,100
1,Turn,0,100,-100,CHECK,0,"['4s', '4d']","['6d', 'Ad']","['6h', '9d', '6s', '5h']",2h,,100,100
1,River,1,100,-100,CHECK,0,"['4s', '4d']","['6d', 'Ad']","['6h', '9d', '6s', '5h', '8s']",2h,,100,100
1,River,0,100,-100,CHECK,0,"['4s', '4d']","['6d', 'Ad']","['6h', '9d', '6s', '5h', '8s']",2h,,100,100
2,Pre-Flop,0,0,0,RAISE,5,"['Ah', 'As']","['3s', '3h']","['3d', '4h']",,,1,1
2,Pre-Flop,1,0,0,RAISE,93,"['Ah', 'As']","['3s', '3h']","['3d', '4h']",,,2,2
2,Pre-Flop,0,0,0,CALL,0,"['Ah', 'As']","['3s', '3h']","['3d', '4h']",,,7,7
2,Pre-Flop,1,0,0,CHECK,0,"['Ah', 'As']","['3s', '3h']","['3d', '4h']",,,100,100
2,Flop,0,0,0,CHECK,0,"['Ah', 'As']","['3s', '3h']","['3d', '4h', '4d']",,,100,100
2,Flop,1,0,0,CHECK,0,"['Ah', 'As']","['3s', '3h']","['3d', '4h', '4d']",,,100,100
2,Turn,0,0,0,CHECK,0,"['Ah', 'As']","['3s', '3h']","['3d', '4h', '4d', '7s']",,,100,100
2,Turn,1,0,0,CHECK,0,"['Ah', 'As']","['3s', '3h']","['3d', '4h', '4d', '7s']",,,100,100
2,River,0,0,0,CHECK,0,"['Ah', 'As']","['3s', '3h']","['3d', '4h', '4d', '7s', '2s']",,,100,100
2,River,1,0,0,CHECK,0,"['Ah', 'As']","['3s', '3h']","['3d', '4h', '4d', '7s', '2s']",,,100,100
3,Pre-Flop,1,-100,100,RAISE,98,"['9s', '5s']","['2s', '4d']","['6d', '5h']",,,1,1
3,Pre-Flop,0,-100,100,CALL,0,"['9s', '5s']","['2s', '4d']","['6d', '5h']",,,2,2
3,Flop,1,-100,100,CHECK,0,"['9s', '5s']","['2s', '4d']","['6d', '5h', '7s']",,,100,100
3,Flop,0,-100,100,CHECK,0,"['9s', '5s']","['2s', '4d']","['6d', '5h', '7s']",,,100,100
3,Turn,1,-100,100,CHECK,0,"['9s', '5s']","['2s', '4d']","['6d', '5h', '7s', '9h']",,,100,100
3,Turn,0,-100,100,CHECK,0,"['9s', '5s']","['2s', '4d']","['6d', '5h', '7s', '9h']",,,100,100
3,River,1,-100,100,CHECK,0,"['9s', '5s']","['2s', '4d']","['6d', '5h', '7s', '9h', '7d']",,,100,100
3,River,0,-100,100,CHECK,0,"['9s', '5s']","['2s', '4d']","['6d', '5h', '7s', '9h', '7d']",,,100,100
4,Pre-Flop,0,0,0,DISCARD,0,"['5d', '4h']","['7h', '8s']","['8d', '9h']",,,1,1
4,Pre-Flop,0,0,0,RAISE,4,"['5h', '4h']","['7h', '8s']","['8d', '9h']",5d,,1,1
4,Pre-Flop,1,0,0,RAISE,94,"['5h', '4h']","['7h', '8s']","['8d', '9h']",5d,,2,2
4,Pre-Flop,0,0,0,CALL,0,"['5h', '4h']","['7h', '8s']","['8d', '9h']",5d,,6,6
4,Pre-Flop,1,0,0,CHECK,0,"['5h', '4h']","['7h', '8s']","['8d', '9h']",5d,,100,100
4,Flop,0,0,0,CHECK,0,"['5h', '4h']","['7h', '8s']","['8d', '9h', '4s']",5d,,100,100
4,Flop,1,0,0,CHECK,0,"['5h', '4h']","['7h', '8s']","['8d', '9h', '4s']",5d,,100,100
4,Turn,0,0,0,CHECK,0,"['5h', '4h']","['7h', '8s']","['8d', '9h', '4s', '7d']",5d,,100,100
4,Turn,1,0,0,CHECK,0,"['5h', '4h']","['7h', '8s']","['8d', '9h', '4s', '7d']",5d,,100,100
4,River,0,0,0,CHECK,0,"['5h', '4h']","['7h', '8s']","['8d', '9h', '4s', '7d', '6s']",5d,,100,100
4,River,1,0,0,CHECK,0,"['5h', '4h']","['7h', '8s']","['8d', '9h', '4s', '7d', '6s']",5d,,100,100
