# Team 0: Team 0, Team 1: Team 1
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,-192,192,RAISE,2,"['7h', '7s']","['7d', '6d']","['2s', 'As']",,,1,1
0,Pre-Flop,1,-192,192,CALL,0,"['7h', '7s']","['7d', '6d']","['2s', 'As']",,,2,2
0,Flop,0,-192,192,DISCARD,0,"['7h', '7s']","['7d', '6d']","['2s', 'As', '2d']",,,4,4
0,Flop,0,-192,192,CHECK,0,"['9h', '7s']","['7d', '6d']","['2s', 'As', '2d']",7h,,4,4
0,Flop,1,-192,192,CHECK,0,"['9h', '7s']","['7d', '6d']","['2s', 'As', '2d']",7h,,4,4
0,Turn,0,-192,192,CHECK,0,"['9h', '7s']","['7d', '6d']","['2s', 'As', '2d', '5s']",7h,,4,4
0,Turn,1,-192,192,CHECK,0,"['9h', '7s']","['7d', '6d']","['2s', 'As', '2d', '5s']",7h,,4,4
0,River,0,-192,192,CHECK,0,"['9h', '7s']","['7d', '6d']","['2s', 'As', '2d', '5s', '4s']",7h,,4,4
0,River,1,-192,192,CHECK,0,"['9h', '7s']","['7d', '6d']","['2s', 'As', '2d', '5s', '4s']",7h,,4,4
1,Pre-Flop,1,-188,188,CALL,0,"['5h', '3h']","['7h', 'Ah']","['8d', '5d']",,,1,1
1,Pre-Flop,0,-188,188,RAISE,3,"['5h', '3h']","['7h', 'Ah']","['8d', '5d']",,,2,2
1,Pre-Flop,1,-188,188,CALL,0,"['5h', '3h']","['7h', 'Ah']","['8d', '5d']",,,2,2
1,Pre-Flop,0,-188,188,RAISE,7,"['5h', '3h']","['7h', 'Ah']","['8d', '5d']",,,5,5
1,Pre-Flop,1,-188,188,CALL,0,"['5h', '3h']","['7h', 'Ah']","['8d', '5d']",,,5,5
1,Pre-Flop,0,-188,188,RAISE,18,"['5h', '3h']","['7h', 'Ah']","['8d', '5d']",,,12,12
1,Pre-Flop,1,-188,188,CALL,0,"['5h', '3h']","['7h', 'Ah']","['8d', '5d']",,,12,12
1,Pre-Flop,0,-188,188,RAISE,45,"['5h', '3h']","['7h', 'Ah']","['8d', '5d']",,,30,30
1,Pre-Flop,1,-188,188,CALL,0,"['5h', '3h']","['7h', 'Ah']","['8d', '5d']",,,30,30
1,Pre-Flop,0,-188,188,RAISE,25,"['5h', '3h']","['7h', 'Ah']","['8d', '5d']",,,75,75
1,Pre-Flop,1,-188,188,CALL,0,"['5h', '3h']","['7h', 'Ah']","['8d', '5d']",,,75,75
1,Pre-Flop,0,-188,188,CHECK,0,"['5h', '3h']","['7h', 'Ah']","['8d', '5d']",,,100,100
1,Flop,1,-188,188,CHECK,0,"['5h', '3h']","['7h', 'Ah']","['8d', '5d', '4h']",,,100,100
1,Flop,0,-188,188,DISCARD,0,"['5h', '3h']","['7h', 'Ah']","['8d', '5d', '4h']",,,100,100
1,Flop,0,-188,188,CHECK,0,"['5h', '6d']","['7h', 'Ah']","['8d', '5d', '4h']",3h,,100,100
1,Turn,1,-188,188,CHECK,0,"['5h', '6d']","['7h', 'Ah']","['8d', '5d', '4h', '4s']",3h,,100,100
1,Turn,0,-188,188,CHECK,0,"['5h', '6d']","['7h', 'Ah']","['8d', '5d', '4h', '4s']",3h,,100,100
1,River,1,-188,188,CHECK,0,"['5h', '6d']","['7h', 'Ah']","['8d', '5d', '4h', '4s', '7d']",3h,,100,100
1,River,0,-188,188,CHECK,0,"['5h', '6d']","['7h', 'Ah']","['8d', '5d', '4h', '4s', '7d']",3h,,100,100
2,Pre-Flop,0,-88,88,RAISE,3,"['5h', '7h']","['3d', '3s']","['8d', '2s']",,,1,1
2,Pre-Flop,1,-88,88,CALL,0,"['5h', '7h']","['3d', '3s']","['8d', '2s']",,,2,2
2,Flop,0,-88,88,DISCARD,0,"['5h', '7h']","['3d', '3s']","['8d', '2s', '3h']",,,5,5
2,Flop,0,-88,88,CHECK,0,"['5h', '4d']","['3d', '3s']","['8d', '2s', '3h']",7h,,5,5
2,Flop,1,-88,88,CHECK,0,"['5h', '4d']","['3d', '3s']","['8d', '2s', '3h']",7h,,5,5
2,Turn,0,-88,88,CHECK,0,"['5h', '4d']","['3d', '3s']","['8d', '2s', '3h', '5s']",7h,,5,5
2,Turn,1,-88,88,CHECK,0,"['5h', '4d']","['3d', '3s']","['8d', '2s', '3h', '5s']",7h,,5,5
2,River,0,-88,88,CHECK,0,"['5h', '4d']","['3d', '3s']","['8d', '2s', '3h', '5s', '6s']",7h,,5,5
2,River,1,-88,88,CHECK,0,"['5h', '4d']","['3d', '3s']","['8d', '2s', '3h', '5s', '6s']",7h,,5,5
3,Pre-Flop,1,-83,83,CALL,0,"['2h', '8d']","['5s', '6s']","['4s', '3h']",,,1,1
3,Pre-Flop,0,-83,83,RAISE,2,"['2h', '8d']","['5s', '6s']","['4s', '3h']",,,2,2
3,Pre-Flop,1,-83,83,CALL,0,"['2h', '8d']","['5s', '6s']","['4s', '3h']",,,2,2
3,Pre-Flop,0,-83,83,RAISE,6,"['2h', '8d']","['5s', '6s']","['4s', '3h']",,,4,4
3,Pre-Flop,1,-83,83,CALL,0,"['2h', '8d']","['5s', '6s']","['4s', '3h']",,,4,4
