# Team 0: Team 0, Team 1: Team 1
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,-2,2,DISCARD,0,"['9d', '9s']","['6d', '5s']","['6s', '5h']",,,1,1
0,Pre-Flop,0,-2,2,RAISE,5,"['6h', '9s']","['6d', '5s']","['6s', '5h']",9d,,1,1
0,Pre-Flop,1,-2,2,FOLD,0,"['6h', '9s']","['6d', '5s']","['6s', '5h']",9d,,2,2
1,Pre-Flop,1,0,0,DISCARD,0,"['6s', '9s']","['2s', '4h']","['6h', '8h']",,,1,1
1,Pre-Flop,1,0,0,CALL,0,"['6s', '9s']","['Ad', '4h']","['6h', '8h']",,2s,1,1
1,Pre-Flop,0,0,0,RAISE,5,"['6s', '9s']","['Ad', '4h']","['6h', '8h']",,2s,2,2
1,Pre-Flop,1,0,0,CALL,0,"['6s', '9s']","['Ad', '4h']","['6h', '8h']",,2s,2,2
1,Pre-Flop,0,0,0,RAISE,17,"['6s', '9s']","['Ad', '4h']","['6h', '8h']",,2s,7,7
1,Pre-Flop,1,0,0,FOLD,0,"['6s', '9s']","['Ad', '4h']","['6h', '8h']",,2s,7,7
2,Pre-Flop,0,7,-7,DISCARD,0,"['2d', '9h']","['9d', '3h']","['7h', 'Ah']",,,1,1
2,Pre-Flop,0,7,-7,RAISE,5,"['8s', '9h']","['9d', '3h']","['7h', 'Ah']",2d,,1,1
2,Pre-Flop,1,7,-7,DISCARD,0,"['8s', '9h']","['9d', '3h']","['7h', 'Ah']",2d,,2,2
2,Pre-Flop,1,7,-7,RAISE,91,"['8s', '9h']","['5s', '3h']","['7h', 'Ah']",2d,9d,2,2
2,Pre-Flop,0,7,-7,RAISE,2,"['8s', '9h']","['5s', '3h']","['7h', 'Ah']",2d,9d,7,7
2,Pre-Flop,1,7,-7,FOLD,0,"['8s', '9h']","['5s', '3h']","['7h', 'Ah']",2d,9d,98,98
3,Pre-Flop,1,105,-105,CALL,0,"['8s', '6s']","['2s', '7d']","['5d', '9s']",,,1,1
3,Pre-Flop,0,105,-105,RAISE,4,"['8s', '6s']","['2s', '7d']","['5d', '9s']",,,2,2
3,Pre-Flop,1,105,-105,RAISE,71,"['8s', '6s']","['2s', '7d']","['5d', '9s']",,,2,2
3,Pre-Flop,0,105,-105,RAISE,23,"['8s', '6s']","['2s', '7d']","['5d', '9s']",,,6,6
3,Pre-Flop,1,105,-105,DISCARD,0,"['8s', '6s']","['2s', '7d']","['5d', '9s']",,,77,77
3,Pre-Flop,1,105,-105,CALL,0,"['8s', '6s']","['2s', '5s']","['5d', '9s']",,7d,77,77
3,Pre-Flop,0,105,-105,CHECK,0,"['8s', '6s']","['2s', '5s']","['5d', '9s']",,7d,100,100
3,Flop,1,105,-105,CHECK,0,"['8s', '6s']","['2s', '5s']","['5d', '9s', '4d']",,7d,100,100
3,Flop,0,105,-105,CHECK,0,"['8s', '6s']","['2s', '5s']","['5d', '9s', '4d']",,7d,100,100
3,Turn,1,105,-105,FOLD,0,"['8s', '6s']","['2s', '5s']","['5d', '9s', '4d', '8h']",,7d,100,100
4,Pre-Flop,0,205,-205,RAISE,4,"['5h', '8d']","['7d', 'Ah']","['3h', '9h']",,,1,1
4,Pre-Flop,1,205,-205,RAISE,82,"['5h', '8d']","['7d', 'Ah']","['3h', '9h']",,,2,2
4,Pre-Flop,0,205,-205,RAISE,12,"['5h', '8d']","['7d', 'Ah']","['3h', '9h']",,,6,6
4,Pre-Flop,1,205,-205,CALL,0,"['5h', '8d']","['7d', 'Ah']","['3h', '9h']",,,88,88
4,Flop,0,205,-205,CHECK,0,"['5h', '8d']","['7d', 'Ah']","['3h', '9h', '2s']",,,100,100
4,Flop,1,205,-205,DISCARD,0,"['5h', '8d']","['7d', 'Ah']","['3h', '9h', '2s']",,,100,100
4,Flop,1,205,-205,FOLD,0,"['5h', '8d']","['As', 'Ah']","['3h', '9h', '2s']",,7d,100,100
